Año;Trimestre;Provincia;ADSL;Cablemodem;Fibra Optica;Wireless;Otras Tecnologías;Hasta 512 kbps;+ 512 Kbps - 1 Mbps;+ 1 Mbps - 6 Mbps;+ 6 Mbps - 10 Mbps;+ 10 Mbps - 20 Mbps;+ 20 Mbps - 30 Mbps;+ 30 Mbps;Otras velocidades;Banda Ancha Fija;Dial Up;Accesos cada 100 Hogares;Accesos cada 100 Habitantes;Mbps (Media de bajada)
2024;1;Santa Fe;86548;399817;374288;44162;13773;468,0;6417,0;76294,0;153030,0;58595,0;28498,0;579118,0;16168,0;918482;106;80,4;25,28;100,2
2024;1;Santa Fe;86548;399817;374288;44162;13773;468,0;6417,0;76294,0;153030,0;58595,0;28498,0;579118,0;16168,0;918482;106;80,4;25,28;100,2
2024;1;Santiago Del Estero;6644;80722;27018;7058;2920;180,0;1134,0;12428,0;53211,0;24281,0;5796,0;26415,0;917,0;124360;2;49,41;12,26;44,9
2024;1;Santiago Del Estero;6644;80722;27018;7058;2920;180,0;1134,0;12428,0;53211,0;24281,0;5796,0;26415,0;917,0;124360;2;49,41;12,26;44,9
2024;1;Tierra Del Fuego;9357;48005;3684;177;332;22,0;834,0;10169,0;9674,0;12039,0;15932,0;5764,0;7121,0;61250;305;109,78;32,54;21,54
2024;1;Tierra Del Fuego;9357;48005;3684;177;332;22,0;834,0;10169,0;9674,0;12039,0;15932,0;5764,0;7121,0;61250;305;109,78;32,54;21,54
2024;1;Tucumán;33682;20361;205959;4075;518;39,0;927,0;16227,0;19918,0;23263,0;1582,0;202151,0;488,0;264568;27;60,48;14,98;103,36
2024;1;Tucumán;33682;20361;205959;4075;518;39,0;927,0;16227,0;19918,0;23263,0;1582,0;202151,0;488,0;264568;27;60,48;14,98;103,36
2023;4;Buenos Aires;223391;2797700;1784593;137993;67943;26909,0;23962,0;228393,0;239339,0;246144,0;110876,0;4042646,0;93351,0;5005720;5900;80,96;27,68;158,49
2023;4;Buenos Aires;223391;2797700;1784593;137993;67943;26909,0;23962,0;228393,0;239339,0;246144,0;110876,0;4042646,0;93351,0;5005720;5900;80,96;27,68;158,49
2023;4;Capital Federal;58700;1198835;182520;4492;29820;516,0;4544,0;26409,0;48083,0;33925,0;5829,0;1355061,0;0,0;1472317;2050;117,02;47,8;234,44
2023;4;Capital Federal;58700;1198835;182520;4492;29820;516,0;4544,0;26409,0;48083,0;33925,0;5829,0;1355061,0;0,0;1472317;2050;117,02;47,8;234,44
2023;4;Catamarca;6669;11016;55437;1384;81;71,0;209,0;3065,0;3734,0;4423,0;1827,0;61181,0;77,0;74586;1;68,63;17,46;89,4
2023;4;Catamarca;6669;11016;55437;1384;81;71,0;209,0;3065,0;3734,0;4423,0;1827,0;61181,0;77,0;74586;1;68,63;17,46;89,4
2023;4;Chaco;14000;60277;62301;8404;2404;236,0;477,0;14811,0;10361,0;6247,0;5729,0;105485,0;4040,0;147381;5;44,35;11,85;107,14
2023;4;Chaco;14000;60277;62301;8404;2404;236,0;477,0;14811,0;10361,0;6247,0;5729,0;105485,0;4040,0;147381;5;44,35;11,85;107,14
2023;4;Chubut;26306;77217;26174;30543;9930;111,0;1088,0;44276,0;31402,0;22843,0;20196,0;33665,0;16589,0;169313;857;84,96;26,04;20,29
2023;4;Chubut;26306;77217;26174;30543;9930;111,0;1088,0;44276,0;31402,0;22843,0;20196,0;33665,0;16589,0;169313;857;84,96;26,04;20,29
2023;4;Córdoba;115662;452380;440536;61862;8862;99,0;8404,0;117068,0;91169,0;51126,0;26948,0;767427,0;17061,0;1079239;63;90,67;27,76;114,03
2023;4;Córdoba;115662;452380;440536;61862;8862;99,0;8404,0;117068,0;91169,0;51126,0;26948,0;767427,0;17061,0;1079239;63;90,67;27,76;114,03
2023;4;Corrientes;21769;86102;35968;10402;5231;67,0;2889,0;19949,0;17984,0;8108,0;5087,0;98904,0;6484,0;159469;3;52,56;13,84;100,9
2023;4;Corrientes;21769;86102;35968;10402;5231;67,0;2889,0;19949,0;17984,0;8108,0;5087,0;98904,0;6484,0;159469;3;52,56;13,84;100,9
2023;4;Entre Ríos;41794;159575;61667;24036;11565;107,0;4408,0;37150,0;54377,0;16673,0;7236,0;164304,0;14382,0;298617;20;69,94;20,91;101,18
2023;4;Entre Ríos;41794;159575;61667;24036;11565;107,0;4408,0;37150,0;54377,0;16673,0;7236,0;164304,0;14382,0;298617;20;69,94;20,91;101,18
2023;4;Formosa;10252;18325;16179;17061;185;85,0;179,0;21856,0;11563,0;4545,0;272,0;23152,0;350,0;62002;0;39,23;9,98;83,35
2023;4;Formosa;10252;18325;16179;17061;185;85,0;179,0;21856,0;11563,0;4545,0;272,0;23152,0;350,0;62002;0;39,23;9,98;83,35
2023;4;Jujuy;11669;51083;49947;4105;1216;58,0;1343,0;15359,0;11724,0;28741,0;272,0;58543,0;1980,0;118020;0;57,78;14,77;46,2
2023;4;Jujuy;11669;51083;49947;4105;1216;58,0;1343,0;15359,0;11724,0;28741,0;272,0;58543,0;1980,0;118020;0;57,78;14,77;46,2
2023;4;La Pampa;6844;59063;34331;19982;1106;71,0;1330,0;46716,0;17278,0;14556,0;5511,0;34254,0;1610,0;121164;162;99,96;32,93;25,61
2023;4;La Pampa;6844;59063;34331;19982;1106;71,0;1330,0;46716,0;17278,0;14556,0;5511,0;34254,0;1610,0;121164;162;99,96;32,93;25,61
2023;4;La Rioja;3296;55441;22559;6395;30;18,0;435,0;1483,0;1786,0;24838,0;4709,0;54452,0;0,0;87717;4;80,22;21,35;64,18
2023;4;La Rioja;3296;55441;22559;6395;30;18,0;435,0;1483,0;1786,0;24838,0;4709,0;54452,0;0,0;87717;4;80,22;21,35;64,18
2023;4;Mendoza;17676;70920;182220;27609;926;104,0;2945,0;35976,0;20902,0;30051,0;7781,0;196093,0;5499,0;298621;730;52,15;14,55;49,46
2023;4;Mendoza;17676;70920;182220;27609;926;104,0;2945,0;35976,0;20902,0;30051,0;7781,0;196093,0;5499,0;298621;730;52,15;14,55;49,46
2023;4;Misiones;25840;79000;75382;12928;7183;51,0;3248,0;32287,0;21522,0;11338,0;3850,0;119112,0;8925,0;200333;0;56,27;15,33;93,65
2023;4;Misiones;25840;79000;75382;12928;7183;51,0;3248,0;32287,0;21522,0;11338,0;3850,0;119112,0;8925,0;200333;0;56,27;15,33;93,65
2023;4;Neuquén;24122;73784;41583;24390;748;136,0;998,0;35431,0;13485,0;10435,0;2933,0;81033,0;20176,0;164188;439;79,91;23,78;99,63
2023;4;Neuquén;24122;73784;41583;24390;748;136,0;998,0;35431,0;13485,0;10435,0;2933,0;81033,0;20176,0;164188;439;79,91;23,78;99,63
2023;4;Río Negro;21192;49789;64323;17284;15829;112,0;1039,0;27223,0;16608,0;18343,0;24693,0;64813,0;15586,0;167902;515;70,26;21,61;74,37
2023;4;Río Negro;21192;49789;64323;17284;15829;112,0;1039,0;27223,0;16608,0;18343,0;24693,0;64813,0;15586,0;167902;515;70,26;21,61;74,37
2023;4;Salta;26765;98853;60800;11806;6508;114,0;1154,0;28069,0;65938,0;3735,0;66,0;98971,0;6685,0;204727;5;56,98;13,8;83,04
2023;4;Salta;26765;98853;60800;11806;6508;114,0;1154,0;28069,0;65938,0;3735,0;66,0;98971,0;6685,0;204727;5;56,98;13,8;83,04
2023;4;San Juan;12669;18543;42691;22351;6956;24,0;2021,0;21157,0;12882,0;12489,0;1343,0;30645,0;22649,0;102963;247;50,08;12,75;24,78
2023;4;San Juan;12669;18543;42691;22351;6956;24,0;2021,0;21157,0;12882,0;12489,0;1343,0;30645,0;22649,0;102963;247;50,08;12,75;24,78
2023;4;San Luis;4037;41260;30135;78954;299;60,0;628,0;11317,0;23754,0;8952,0;75907,0;33150,0;917,0;154520;165;102,07;29,21;174,59
2023;4;San Luis;4037;41260;30135;78954;299;60,0;628,0;11317,0;23754,0;8952,0;75907,0;33150,0;917,0;154520;165;102,07;29,21;174,59
2023;4;Santa Cruz;7768;15669;55246;7687;661;50,0;500,0;7764,0;10783,0;11558,0;3628,0;19314,0;33434,0;86844;187;73,75;21,94;36,77
2023;4;Santa Cruz;7768;15669;55246;7687;661;50,0;500,0;7764,0;10783,0;11558,0;3628,0;19314,0;33434,0;86844;187;73,75;21,94;36,77
2023;4;Santa Fe;97004;398670;355762;44521;13544;468,0;6845,0;82343,0;164019,0;59636,0;22135,0;557629,0;16426,0;909395;106;79,75;25,08;99,81
2023;4;Santa Fe;97004;398670;355762;44521;13544;468,0;6845,0;82343,0;164019,0;59636,0;22135,0;557629,0;16426,0;909395;106;79,75;25,08;99,81
2023;4;Santiago Del Estero;8290;80692;24271;7057;2920;180,0;1173,0;13018,0;53980,0;24514,0;5794,0;23641,0;930,0;123228;2;49,08;12,18;44,22
2023;4;Santiago Del Estero;8290;80692;24271;7057;2920;180,0;1173,0;13018,0;53980,0;24514,0;5794,0;23641,0;930,0;123228;2;49,08;12,18;44,22
2023;4;Tierra Del Fuego;9357;48071;3682;157;332;22,0;834,0;10283,0;12618,0;19536,0;6085,0;4342,0;7879,0;61294;305;110,49;32,75;17,92
2023;4;Tierra Del Fuego;9357;48071;3682;157;332;22,0;834,0;10283,0;12618,0;19536,0;6085,0;4342,0;7879,0;61294;305;110,49;32,75;17,92
2023;4;Tucumán;41318;20267;199876;4357;517;39,0;1089,0;18850,0;22817,0;24476,0;1583,0;196919,0;562,0;266308;27;61,04;15,12;101,55
2023;4;Tucumán;41318;20267;199876;4357;517;39,0;1089,0;18850,0;22817,0;24476,0;1583,0;196919,0;562,0;266308;27;61,04;15,12;101,55
2023;3;Buenos Aires;237705;2784175;1740239;137921;68197;27440,0;24820,0;242010,0;241310,0;246076,0;112159,0;3951660,0;122762,0;4962337;5900;80,64;27,5;146,84
2023;3;Buenos Aires;237705;2784175;1740239;137921;68197;27440,0;24820,0;242010,0;241310,0;246076,0;112159,0;3951660,0;122762,0;4962337;5900;80,64;27,5;146,84
2023;3;Capital Federal;60765;1205339;167428;4629;29823;516,0;4690,0;28089,0;50899,0;34061,0;6020,0;1343709,0;0,0;1465934;2050;116,4;47,6;218,13
2023;3;Capital Federal;60765;1205339;167428;4629;29823;516,0;4690,0;28089,0;50899,0;34061,0;6020,0;1343709,0;0,0;1465934;2050;116,4;47,6;218,13
2023;3;Catamarca;7164;11066;54650;1384;91;71,0;224,0;3194,0;3893,0;4634,0;2124,0;60123,0;92,0;74354;1;68,55;17,44;87,9
2023;3;Catamarca;7164;11066;54650;1384;91;71,0;224,0;3194,0;3893,0;4634,0;2124,0;60123,0;92,0;74354;1;68,55;17,44;87,9
2023;3;Chaco;16420;60058;54993;8267;2408;236,0;462,0;14076,0;12874,0;6895,0;2970,0;100544,0;4089,0;142141;5;42,87;11,46;107,5
2023;3;Chaco;16420;60058;54993;8267;2408;236,0;462,0;14076,0;12874,0;6895,0;2970,0;100544,0;4089,0;142141;5;42,87;11,46;107,5
2023;3;Chubut;26352;75460;25827;30521;9908;111,0;1470,0;44434,0;30908,0;24394,0;19608,0;30565,0;16578,0;167211;857;84,23;25,82;19,26
2023;3;Chubut;26352;75460;25827;30521;9908;111,0;1470,0;44434,0;30908,0;24394,0;19608,0;30565,0;16578,0;167211;857;84,23;25,82;19,26
2023;3;Córdoba;125050;453994;417338;62514;10438;99,0;8691,0;126420,0;96257,0;52428,0;26058,0;742447,0;16934,0;1069271;63;90,05;27,57;111,5
2023;3;Córdoba;125050;453994;417338;62514;10438;99,0;8691,0;126420,0;96257,0;52428,0;26058,0;742447,0;16934,0;1069271;63;90,05;27,57;111,5
2023;3;Corrientes;24253;83897;36032;10407;5240;67,0;2985,0;20810,0;20906,0;5494,0;4577,0;97014,0;7976,0;159826;3;52,78;13,9;99,64
2023;3;Corrientes;24253;83897;36032;10407;5240;67,0;2985,0;20810,0;20906,0;5494,0;4577,0;97014,0;7976,0;159826;3;52,78;13,9;99,64
2023;3;Entre Ríos;45384;157464;54794;24481;11170;107,0;4510,0;38962,0;49979,0;20312,0;22941,0;156482,0;0,0;293273;20;68,84;20,58;96,26
2023;3;Entre Ríos;45384;157464;54794;24481;11170;107,0;4510,0;38962,0;49979,0;20312,0;22941,0;156482,0;0,0;293273;20;68,84;20,58;96,26
2023;3;Formosa;11230;18053;14904;16899;228;85,0;208,0;21919,0;11697,0;5045,0;274,0;21727,0;359,0;61314;0;38,86;9,89;80,29
2023;3;Formosa;11230;18053;14904;16899;228;85,0;208,0;21919,0;11697,0;5045,0;274,0;21727,0;359,0;61314;0;38,86;9,89;80,29
2023;3;Jujuy;12627;51082;48350;4067;1251;58,0;1436,0;15685,0;11983,0;28956,0;288,0;56943,0;2028,0;117377;0;57,61;14,73;44,55
2023;3;Jujuy;12627;51082;48350;4067;1251;58,0;1436,0;15685,0;11983,0;28956,0;288,0;56943,0;2028,0;117377;0;57,61;14,73;44,55
